                      ranks  Wall tot
=====================================
mainTimer...........      8     132.8

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........      8     132.8     132.8     132.8
Write Stat..........      8       3.4     3.397     3.399
Write H5-File.......      8   0.04212    0.0421   0.04211
findInternal........      8 2.254e-06 1.582e-06  1.98e-06
findPeriodic........      8  7.47e-07     5e-07  6.46e-07
bInitLimits.........      8    0.3804   0.09093    0.2356
bAllReduceLimits....      8    0.3185   0.02571    0.1717
bAllReduceGlobalHis.      8    0.2639   0.03009     0.149
bAssignUniformBins..      8    0.2442    0.0581    0.1489
bExecuteHistoReduct.      8    0.3782   0.09214     0.239
bSortContainerByBin.      8    0.2154   0.05082    0.1325
bVerifySorting......      8         0         0         0
Initialize..........      8   0.08078   0.08008   0.08056
Initialize: extra H.      8  0.001088  0.000505 0.0006574
Warmup..............      8   0.06706   0.06588   0.06666
Green Init..........      8   0.01109   0.01044   0.01087
FFT: Green..........      8     10.74     10.69     10.72
Solve...............      8     69.41     69.14     69.26
Solve: Physical to .      8    0.5687    0.1386     0.343
FFT: Rho............      8        11     9.997     10.64
FFT: Convolution....      8     11.27     10.49     10.71
Solve: Double to ph.      8    0.6481    0.5003    0.5842
Solve: Electric fie.      8     35.21     35.17     35.19
FFT: Efield.........      8        32     31.48     31.67
Efield: double to p.      8     2.151     1.621     1.924
samplingTime........      8   0.05271   0.05246   0.05254
Sampling............      8   0.05267   0.05243   0.05252
particleBC..........      8     1.933    0.4759     1.196
updateParticle......      8     8.836     7.464     8.155
locateParticles.....      8     6.596     1.142     3.732
neighborSearch......      8     4.412    0.5885     2.368
nonNeighboringParti.      8  0.001164 0.0003135 0.0007238
sendPreprocess......      8     7.433    0.5391     4.133
particleSend........      8    0.1705    0.1374    0.1595
particleDestroy.....      8   0.08858   0.04383    0.0634
particleRecv........      8    0.1135   0.02883   0.06109
computeMoments......      8     27.38     26.77     27.07
TIntegration1.......      8    0.5871    0.5857    0.5864
TIntegration2.......      8     2.798     1.601     2.202
External field eval.      8     1.835    0.6258     1.225
Binaryrepart........      8         0         0         0
OrbThreader.........      8  0.005252 0.0008395  0.001482
bDeviceSyncronizati.      8 0.0004206 0.0003894 0.0004074
bHistogramInit......      8  0.002613  0.002469  0.002546
bMergeBins..........      8   0.04339    0.0408   0.04218
scatter.............      8     5.356     1.012     3.139
accumulateHalo......      8     4.852    0.5017       2.7
fillHalo............      8     1.489    0.2862    0.8703
gather..............      8     2.878    0.6097     1.718
