id,x_m,y_m,z_m,px_beta_gamma,py_beta_gamma,pz_beta_gamma,px_MeVc,py_MeVc,pz_MeVc,macro_charge_C
0,3.98369967263972403e-04,-5.62823337417524966e-04,5.88834943748445180e-02,1.71100701126593714e-06,6.97445954052225963e-07,-4.74226594720657231e-07,8.74324582756893880e-07,3.56394882520687463e-07,-2.42329789902255845e-07,-3.90625000000000024e-12
1,4.21181029424531650e-05,-1.57090051930705663e-03,1.00165474993301973e-01,-3.80289953203397242e-06,-4.24749472169899965e-07,-7.79662300288435352e-08,-1.94328166086935995e-06,-2.17046980278818899e-07,-3.98407435447390446e-08,-3.90625000000000024e-12
2,-9.78761874531953639e-05,6.19802205611669861e-04,1.83683215118597226e-01,2.37911943068205738e-06,-1.38846688366993780e-06,-2.34951383356980987e-07,1.21573002907853144e-06,-7.09506577555338176e-07,-1.20060156895417284e-07,-3.90625000000000024e-12
3,2.68429971790991632e-04,-1.07446867651375872e-03,-6.80978968913819455e-02,3.40551325060886321e-07,2.41503630019311602e-06,-2.35646484107878471e-06,1.74021727106112910e-07,1.23408354939868222e-06,-1.20415353379125895e-06,-3.90625000000000024e-12
4,1.01682627866623741e-03,-1.45676824469415924e-03,2.63589274161202987e-02,1.57106474655950772e-06,-2.33398592054048127e-07,-1.35140510041737799e-06,8.02814085491908477e-07,-1.19266680539618601e-07,-6.90568006313280206e-07,-3.90625000000000024e-12
5,3.75264499521405566e-04,-1.15030439561476252e-03,1.69263911154670342e-02,-2.70709540889777081e-06,-1.92789758816927565e-06,1.56746547484894400e-06,-1.38332575394676100e-06,-9.85155667554499869e-07,8.00974857647810369e-07,-3.90625000000000024e-12
6,5.56222190580178471e-04,-7.72790366311256046e-04,-4.80489027498114396e-02,-1.05454700628368983e-06,-1.89075786607103855e-06,-8.33060324556065570e-07,-5.38873520210965537e-07,-9.66177269562300684e-07,-4.25693825848149496e-07,-3.90625000000000024e-12
7,5.43774527775482837e-04,-1.29889676333042547e-03,-8.80154573042694899e-02,2.54539710508394964e-06,1.88447152980808264e-06,1.56118244590394629e-06,1.30069792069789836e-06,9.62964951731930224e-07,7.97764229856916610e-07,-3.90625000000000024e-12
8,9.53869714905892065e-04,8.56235264076370475e-05,-1.41616066442363492e-01,1.86969121641237775e-06,1.47749375986942803e-06,-8.28188427076403025e-07,9.55412211586725035e-07,7.54999311293277759e-07,-4.23204286236041944e-07,-3.90625000000000024e-12
9,1.13757909136232214e-05,1.94123446633947074e-03,-1.51315650705300619e-01,-2.17107088500318697e-06,2.37247549758564038e-06,-2.67128531483215358e-07,-1.10941722223662853e-06,1.21233497926626223e-06,-1.36502679587923043e-07,-3.90625000000000024e-12
10,8.15911137363755572e-04,7.58735643657171038e-04,-1.76784842967827073e-02,2.19381220189802271e-07,-9.30403775486191038e-07,9.61344777582071851e-07,1.12103803516988964e-07,-4.75436329273443622e-07,4.91247181344438748e-07,-3.90625000000000024e-12
11,6.05282356603980892e-04,-6.74100898055118619e-04,1.54474555526066926e-01,2.59505897310691809e-06,-8.09240144107466728e-07,2.80243529071718667e-07,1.32607513525763524e-06,-4.13521713638915503e-07,1.43204443355648232e-07,-3.90625000000000024e-12
12,1.72016379021557400e-03,-8.80010681266447090e-04,-2.13653881827350865e-02,1.07649891108577080e-07,1.27704678961377174e-06,-2.66468190428530633e-08,5.50090943564828916e-08,6.52570909492637368e-07,-1.36165245308979151e-08,-3.90625000000000024e-12
13,1.31883193857815391e-04,-6.25368307300708270e-04,3.52700905195862668e-02,7.63737460955754238e-08,-1.16148243374764457e-06,7.19058657294878116e-08,3.90269842548390447e-08,-5.93517523645046345e-07,3.67438973877682735e-08,-3.90625000000000024e-12
14,-1.03758819174042246e-03,5.77381131501050358e-04,-3.00665985753030690e-02,-1.39890680400748266e-06,1.43767158251441735e-06,-2.50382206397775253e-07,-7.14841376847823629e-07,7.34650178664867330e-07,-1.27945307469263162e-07,-3.90625000000000024e-12
15,-4.87931151037744243e-05,4.71121656629766908e-04,9.26251184031400554e-02,3.20740302359148273e-06,-1.30719024829831415e-06,-1.98522641847841943e-06,1.63898294505524769e-06,-6.67974216880438510e-07,-1.01445069984247229e-06,-3.90625000000000024e-12
16,-9.83695349403332798e-04,7.89314703528218265e-04,8.79077083298519801e-02,1.78590096161614163e-06,1.24327777961152686e-06,-2.64830405575658731e-06,9.12595391385848352e-07,6.35314945381490279e-07,-1.35328337249161608e-06,-3.90625000000000024e-12
17,-1.15168037066496891e-04,1.53771787345178385e-03,-7.64599038953681087e-02,5.06726021215528469e-06,-3.18870089372418577e-07,2.18087572431580711e-06,2.58936996841135059e-06,-1.62942615669305885e-07,1.11442749512537737e-06,-3.90625000000000024e-12
18,-5.45421779125162317e-04,3.82058103857638208e-04,-6.80309089038874937e-02,-7.49558641482371807e-07,1.35203139684857359e-06,2.16682218900368213e-06,-3.83024465797491997e-07,6.90888043789621116e-07,1.10724613858088168e-06,-3.90625000000000024e-12
19,1.39269759879561100e-03,1.98014381576470309e-04,1.71952460551766773e-01,-9.20647045109383297e-07,7.03343968119869500e-07,1.71608276402155542e-06,-4.70450640050894901e-07,3.59408767709253338e-07,8.76918292415014796e-07,-3.90625000000000024e-12
