time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV
0.00000000000000000e+00,-9.74087889342445390e-20,3.81164826264435153e-20,-1.03126261328211066e-19,9.87030071660987326e-04,9.86937258702089279e-04,9.86495338976477306e-04,-1.32348898008484428e-23,-1.05879118406787542e-22,-9.09898673808330442e-24,2.89348318469399347e-06,2.89384610756763172e-06,2.89362192116585956e-06,6.41803984350458676e-12
3.74999999999999998e-12,-4.36767425290260922e-14,-1.39307537097425101e-13,1.23665895433579555e-06,9.87031174393274754e-04,9.86938266456941719e-04,9.86496405976735203e-04,-8.35186038880554584e-11,-3.84611302446710895e-11,2.20002869646861599e-03,3.62114239078438700e-06,3.52205965893880992e-06,3.59996325152557171e-06,1.23666059530711048e-06
7.49999999999999995e-12,-1.77545307006860670e-13,-5.44678713380365460e-13,4.94661762728499598e-06,9.87034307721353305e-04,9.86941319724959258e-04,9.86499514908019274e-04,-1.70400086776529615e-10,-7.13865220151673846e-11,4.40005713467527763e-03,5.11740011770983290e-06,4.98230502146112901e-06,5.09322074765157732e-06,4.94660418139156472e-06
1.12499999999999999e-11,-4.05850473687792467e-13,-1.19745073714900272e-12,1.11298218019674577e-05,9.87039471157611292e-04,9.86946418040474463e-04,9.86504664537464363e-04,-2.60641820381443465e-10,-9.87674045136550034e-11,6.60008531485487861e-03,6.89908641479926515e-06,6.75496926085460500e-06,6.87871738924583201e-06,1.11297824376078023e-05
1.49999999999999999e-11,-7.32819661615306817e-13,-2.07918060523618856e-12,1.97861813558840523e-05,9.87046664183840843e-04,9.86953560906553675e-04,9.86511853570866577e-04,-3.54241189018346237e-10,-1.20595366178958719e-10,8.80011323724994542e-03,8.79437523465258020e-06,8.65004344476058288e-06,8.77994262660808647e-06,1.97861047182600473e-05
1.87499999999999999e-11,-1.16266280834340715e-12,-3.17164476461778222e-12,3.09155702674393949e-05,9.87055886251234429e-04,9.86962747794998315e-04,9.86521080652680467e-04,-4.51195589600346088e-10,-1.36862354689883916e-10,1.10001409021106260e-02,1.07432755620353689e-05,1.06020573104075449e-05,1.07355847685284859e-05,3.09154444772601373e-05
2.24999999999999999e-11,-1.69957254654298448e-12,-4.45683937075769948e-12,4.45178266250719686e-05,9.87067136780379233e-04,9.86973978146336861e-04,9.86532344366006448e-04,-5.51502431638598551e-10,-1.47560676963548996e-10,1.32001683096946675e-02,1.27211311741881555e-05,1.25845049919429276e-05,1.27205641913308968e-05,4.45176392773542594e-05
2.62499999999999998e-11,-2.34772405704160108e-12,-5.91698003349802842e-12,6.05927526389765924e-05,9.87080415161256924e-04,9.86987251369826797e-04,9.86545643232587983e-04,-6.55159137243207542e-10,-1.52682999154597900e-10,1.54001954602674858e-02,1.47162281047905470e-05,1.45849398037962164e-05,1.47230099520884878e-05,6.05924908019047113e-05
2.99999999999999998e-11,-3.11127526999381543e-12,-7.53450209700341853e-12,7.91401146554262304e-05,9.87095720753239109e-04,9.87002566843442905e-04,9.86560975712791853e-04,-7.62163141123516320e-10,-1.52222346658144874e-10,1.76002223541020519e-02,1.67223496627250542e-05,1.65968138926600124e-05,1.67366415567764577e-05,7.91397648693331553e-05
3.37499999999999998e-11,-3.99436660187745213e-12,-9.29206045722548056e-12,1.00159643173710364e-04,9.87113052885075191e-04,9.87019923913879651e-04,9.86578340205604464e-04,-8.72511890584682133e-10,-1.46172104106062078e-10,1.98002489914790372e-02,1.87359058018513848e-05,1.86163713337323712e-05,1.87578425513531120e-05,1.00159191450123686e-04
