time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV
0.0,-1.7470054537119944e-20,8.682087709356578e-21,-5.476068003999052e-17,0.0009870300716609884,0.0009869372587020893,0.0009864953389764767,8.271806125530277e-23,-6.824240053562478e-23,0.0019783574385068598,2.8934831846939918e-06,2.893846107567631e-06,2.8936219211658596e-06,1.000006418044501e-06
3.75e-12,-6.606856988583543e-20,-1.0587911840678754e-20,3.460757497002338e-06,0.0009870277695554642,0.0009869349507355186,0.0009864925680888093,-1.4244374405345538e-10,1.3643983014663293e-10,0.004178392991928546,2.350851308232811e-06,2.345045554537847e-06,2.1826908207226093e-06,4.460750887055108e-06
7.5e-12,-1.717651799034231e-13,1.6819172016428285e-13,9.394764223704088e-06,0.0009870274771685242,0.000986934648879732,0.000986491804918297,-3.010836387092707e-10,2.8834953981914746e-10,0.006378421641124054,2.2095341468205777e-06,2.171789363523075e-06,1.5967228110952376e-06,1.0394726481913266e-05
1.125e-11,-5.286196996898574e-13,5.098861244112523e-13,1.7801934024229716e-05,0.0009870291944240313,0.0009869363530578708,0.0009864930493457332,-4.690330143909282e-10,4.4388047602602766e-10,0.008578450292789645,3.3115286428865914e-06,3.249228051219813e-06,2.6467680866670235e-06,1.880185769730242e-05
1.5e-11,-1.0780072623475215e-12,1.0277851849504533e-12,2.868214484147346e-05,0.0009870329211835727,0.0009869400631312844,0.0009864963011211479,-6.407108120466302e-10,6.008741650073592e-10,0.010778478945967009,4.876296321409293e-06,4.798015412351309e-06,4.2581259973457005e-06,2.9682022475394966e-05
1.875e-11,-1.820858531774684e-12,1.7224729576805555e-12,4.203523872232033e-05,0.000987038657258597,0.0009869457789115955,0.0009865015598902818,-8.127780622862327e-10,7.580969442768356e-10,0.012978507599554361,6.581570174716744e-06,6.4889155468938325e-06,5.993979822343216e-06,4.303506285949246e-05
2.25e-11,-2.757104142643349e-12,2.5938703748287897e-12,5.786102183226024e-05,0.0009870464024101225,0.0009869535001601822,0.0009865088251984195,-9.847833952237986e-10,9.152460060648747e-10,0.015178536253765251,8.341532433936302e-06,8.234763318445543e-06,7.77129034828731e-06,5.8860785016030955e-05
2.625e-11,-3.88665446531517e-12,3.641876101184995e-12,7.615926446925464e-05,0.000987056156346638,0.000986963226585942,0.0009865180964879433,-1.1567134029803397e-09,1.0723044817822884e-09,0.017378564908724813,1.0127622300062026e-05,1.000675465417741e-05,9.566919481033599e-06,7.715895924357595e-05
3e-11,-5.209403690446079e-12,4.866367037874463e-12,9.692970108040482e-05,0.0009870679187240312,0.0009869749578452114,0.000986529373098333,-1.3285567856337803e-09,1.2292550997076666e-09,0.01957859356456097,1.1928017130477143e-05,1.179302342419458e-05,1.1372130962248022e-05,9.792931998994714e-05
3.375e-11,-6.725229419339978e-12,6.267197367751807e-12,0.00012017203028121841,0.0009870816891455994,0.000986988693541781,0.0009865426542662375,-1.5003001768500785e-09,1.3860807133505036e-09,0.021778622221406228,1.3737001091240751e-05,1.3587851821104205e-05,1.3182925816703901e-05,0.00012117156587148129
3.75e-11,-8.43399013936704e-12,7.844200223738232e-12,0.00014588591487746714,0.0009870974671620893,0.000987004433226935,0.0009865579391255762,-1.6719299486127408e-09,1.5427658757069164e-09,0.02397865087939085,1.5551483936661202e-05,1.5388156120054803e-05,1.4997218041717664e-05,0.00014688535969484566
4.125e-11,-1.0335527353510417e-11,9.597188982876118e-12,0.0001740709818896288,0.0009871152522717384,0.0009870221763994972,0.0009865752267076624,-1.8434342835285897e-09,1.699295864940255e-09,0.02617867953864569,1.736964871887244e-05,1.7192126726490007e-05,1.681381136073123e-05,0.00017507032848150197
4.5e-11,-1.2429665876086616e-11,1.1525957765443183e-11,0.0002047268225799209,0.000987135043920326,0.0009870419225058737,0.0009865945159413321,-2.0148007930265448e-09,1.8556551959437374e-09,0.028378708199304103,1.919035480122051e-05,1.899862947953513e-05,1.863196820225802e-05,0.00020572606349477944
4.875e-11,-1.4716213266609856e-11,1.3630279106564795e-11,0.0002378529924819157,0.0009871568415012208,0.0009870636709401058,0.0009866158056530976,-2.1860175245934187e-09,2.011826849719147e-09,0.030578736861499745,2.101284715394959e-05,2.0806914737738725e-05,2.0451206766010707e-05,0.00023885212026946389
5.25e-11,-1.7194962512345412e-11,1.5909904310803133e-11,0.0002734490114327273,0.0009871806443554378,0.0009870874210439226,0.0009866390945673003,-2.3570749235108763e-09,2.1677947389397075e-09,0.03277876552536566,2.2836603434314896e-05,2.261646460521212e-05,2.2271196946091956e-05,0.00027444801864397064
5.625e-11,-1.98656922935368e-11,1.8364563251516265e-11,0.0003115143636077681,0.000987206451771703,0.0009871131721068066,0.0009866643813062912,-2.5279629196042646e-09,2.3235423762178753e-09,0.03497879419103258,2.4661248371790013e-05,2.4426907515017947e-05,2.409170320460251e-05,0.00031251324279506275
6e-11,-2.272816675661272e-11,2.0993964518030115e-11,0.0003520484975580727,0.000987234262986515,0.0009871409233660584,0.0009866916643906127,-2.6986701343417256e-09,2.479053401632865e-09,0.03717882285863449,2.6486503315298964e-05,2.623796794944999e-05,2.5912551433497062e-05,0.00035304724127529705
6.375e-11,-2.5782132912419458e-11,2.3797797126221505e-11,0.0003950508262501878,0.0009872640771842176,0.000987170674006868,0.0009867209422392018,-2.869183848479924e-09,2.6343145746174517e-09,0.03937885152830871,2.8312155194767223e-05,2.8049435534679402e-05,2.7733608834432434e-05,0.0003960494270528844
6.75e-11,-2.902732112718238e-11,2.6775732534138932e-11,0.0004405207271086018,0.0009872958934970784,0.0009872024231623912,0.000986752213169607,-3.0394918476683106e-09,2.7893110181463285e-09,0.04157888020019253,3.0138036716074627e-05,2.986114533738769e-05,2.955477122010891e-05,0.0004415191775541024
7.125e-11,-3.246344306368646e-11,2.992742101161935e-11,0.0004884575420607289,0.0009873297110053608,0.0009872361699138287,0.0009867854753982134,-3.2095786896948698e-09,2.944026812818846e-09,0.043778908874424406,3.196401332356245e-05,3.167296490418653e-05,3.137595472319948e-05,0.0004894558347083103
