time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV
0.0,1.8846483076408183e-20,1.2705494208814505e-21,-5.4791384984328485e-17,0.0009870300716609878,0.0009869372587020888,0.0009864953389764773,-1.133237439197648e-22,-1.9852334701272664e-23,0.0019783574385068598,2.893483184693995e-06,2.89384610756763e-06,2.8936219211658634e-06,1.0000064180447224e-06
3.75e-12,-1.0018282183650237e-18,1.9761278659442827e-18,3.4607574970023186e-06,0.000987030158945381,0.0009869372435583935,0.0009864953846202252,2.5392482911887226e-09,-5.935925441760621e-09,0.0041783884050326575,3.340766352292329e-06,3.5556123740049133e-06,3.249214779086962e-06,4.460745838129991e-06
7.5e-12,2.9937869422639332e-12,-6.777812313403953e-12,9.394758583160424e-06,0.000987032360552759,0.0009869393602867523,0.000986497547311324,5.0976997308107744e-09,-1.1943463281966027e-08,0.0063784121221415425,5.603435630702407e-06,7.0095615582019795e-06,5.222374307997274e-06,1.0394719896401605e-05
1.125e-11,8.786183074420512e-12,-2.0357343216526822e-11,1.780191721355293e-05,0.0009870366761581787,0.0009869436088095537,0.0009865018267509297,7.461827012122006e-09,-1.779913301592264e-08,0.008578436018670449,8.420854234335644e-06,1.103386811632869e-05,7.767165259244434e-06,1.88018524734977e-05
1.5e-11,1.719149424943964e-11,-4.0519822317924484e-11,2.868211151090125e-05,0.0009870431054901435,0.000986949988960998,0.000986508222557207,9.655582681058753e-09,-2.3375558502630458e-08,0.010778460152565311,1.136503787887621e-05,1.5105353607472386e-05,1.0459287098063428e-05,2.9682021622961232e-05
1.875e-11,2.805068728708757e-11,-6.694294477414161e-11,4.203518379585594e-05,0.0009870516482275615,0.000986958500516495,0.0009865167342582813,1.1690189599621902e-08,-2.8608283768321638e-08,0.012978484582411716,1.4332760560974327e-05,1.9112545935388665e-05,1.3192112284072768e-05,4.303506948157813e-05
2.25e-11,4.119322704382529e-11,-9.924047965104458e-11,5.7860940566740126e-05,0.0009870623039749035,0.0009869691431969524,0.0009865273612734207,1.3557633785663792e-08,-3.3460864537338505e-08,0.015178509342604445,1.7287165220420735e-05,2.3010845327769912e-05,1.5928533391664994e-05,5.8860802206976725e-05
2.625e-11,5.643130558199756e-11,-1.3698416501400036e-10,7.61591524923186e-05,0.0009870750722701846,0.0009869819166714493,0.0009865401029128134,1.5250987053003965e-08,-3.791564806022832e-08,0.017378534450148496,2.021154046934547e-05,2.6777829495059853e-05,1.8652446513385992e-05,7.715899003052277e-05
3e-11,7.356870532036385e-11,-1.797255185875052e-10,9.692955440953952e-05,0.0009870899525938315,0.0009869968205588027,0.0009865549583822435,1.677045170716521e-08,-4.197181153539773e-08,0.019578559907415034,2.309767069810211e-05,3.0402838350283157e-05,2.135624195785074e-05,9.792936730066784e-05
3.375e-11,9.240953274783058e-11,-2.2701533859196513e-10,0.00012017184532597615,0.000987106944375898,0.0009870138544286608,0.000986571926787083,1.812221412649782e-08,-4.5641923558714054e-08,0.02177858570512177,2.5941820238692415e-05,3.3883002204063525e-05,2.4036529706567026e-05,0.00012117163252326458
