time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02
2.299963450862529052e-11,0.000000000000000000e+00,0.000000000000000000e+00,1.344723264693481034e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000008005677267553e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.988865747780489135e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000298152787114717e-02
7.607426995157150736e-11,0.000000000000000000e+00,0.000000000000000000e+00,4.450043698415228309e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000089829765226507e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.990964450643442629e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.003518886674354370e-02
1.368901642031215886e-10,0.000000000000000000e+00,0.000000000000000000e+00,8.012358623339585484e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000299521863743379e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.993605634231229995e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.012407591455686921e-02
2.011345219842589281e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.178069504161989578e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000667246446983044e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.996697345500159648e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.029233787290571162e-02
2.669154595365248969e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.564530247982947805e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.001213940257828644e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000218608957203548e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.056104630330345802e-02
3.332885284437870744e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.955170550464798915e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.001956771848036276e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.004176584807877692e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.094987994638321402e-02
3.996092403323511448e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.346285804775986861e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.002909333929124930e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.008583192458745226e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.147530288479227042e-02
4.652572673503888060e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.734292352286117611e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.004079096887814382e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.013439452426371290e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.214753849542062579e-02
5.295977180241854167e-10,0.000000000000000000e+00,0.000000000000000000e+00,3.115491934952976938e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.005465192807659530e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.018728846326048598e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.296826510330041649e-02
