time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
0.000000000000000000e+00,-1.043742094826953052e-06,-9.009659547019939377e-06,4.794759123008173959e-04,1.001388615971359180e-03,1.004375000797207195e-03,1.002251508800166141e-01,6.018318248759814949e-09,-7.025975141352485001e-09,1.989870382207754584e-01,4.561167565496311105e-04,4.566324460088105061e-04,1.001004658526363951e-02
0.000000000000000000e+00,-1.043703323329808099e-06,-9.009704660014196981e-06,1.758890771247008681e-03,1.002578581640626784e-03,1.005558990883622696e-03,1.002259215681517435e-01,6.018318248759814949e-09,-7.025975141352485001e-09,1.989870382207754584e-01,4.561167565496311105e-04,4.566324460088105061e-04,1.001004658526363951e-02
2.187500000000000201e-11,-1.043612450294059034e-06,-9.009809519063215788e-06,3.038832370506539503e-03,1.006243677166516635e-03,1.009205878771189712e-03,1.002282951522830839e-01,9.945596761295536588e-09,-1.158546541790502942e-08,1.990743065513732868e-01,9.182404043356553070e-04,9.192950043303106189e-04,1.016978001689181239e-02
4.375000000000000402e-11,-1.043470614201100408e-06,-9.009973574771790362e-06,4.319313403638940820e-03,1.012375294794205793e-03,1.015307637474374301e-03,1.002323031450557123e-01,1.375864929505480000e-08,-1.609007162375836441e-08,1.991642020524091450e-01,1.374027325599848186e-03,1.375639905868074895e-03,1.043503195339798295e-02
6.562500000000000603e-11,-1.043279706733202626e-06,-9.010195994123772916e-06,5.600343864787041270e-03,1.020958752357011739e-03,1.023850495564249770e-03,1.002379711338986235e-01,1.740285448430522924e-08,-2.052303063865788329e-08,1.992565233912869938e-01,1.820603273995009689e-03,1.822792713462099458e-03,1.080014732969033012e-02
8.750000000000000803e-11,-1.043042461827397647e-06,-9.010475979304358169e-06,6.881933482073310758e-03,1.031972933181031721e-03,1.034814540274403994e-03,1.002453247758969684e-01,2.083323955505105410e-08,-2.487750163187651938e-08,1.993514592430262189e-01,2.255445493946385115e-03,2.258227069211634058e-03,1.125831540624349855e-02
1.093750000000000100e-10,-1.042762257617278632e-06,-9.010812687074139257e-06,8.164094068287242392e-03,1.045389879569798373e-03,1.048173271293124150e-03,1.002543955038406459e-01,2.401873685234007198e-08,-2.914409387350319601e-08,1.994493929493681705e-01,2.676450175558211988e-03,2.679832128077529532e-03,1.180214945396725404e-02
1.312500000000000121e-10,-1.042442315634173610e-06,-9.011205040540666930e-06,9.446839542281003366e-03,1.061174532690671753e-03,1.063893237559225546e-03,1.002652205996830970e-01,2.693747191505306073e-08,-3.329317530960169123e-08,1.995509030388381011e-01,3.081976938661311165e-03,3.085959159020532951e-03,1.242390488007533850e-02
1.531250000000000270e-10,-1.042086118892667465e-06,-9.011651440578041198e-06,1.073018830831303817e-02,1.079284689179989785e-03,1.081933907471144003e-03,1.002778488057669698e-01,2.957582605443359337e-08,-3.729004919336396755e-08,1.996561762489212355e-01,3.470860767692220648e-03,3.475434584457544763e-03,1.311612707150420533e-02
1.750000000000000161e-10,-1.041696927837388088e-06,-9.012149807265513082e-06,1.201415601006207597e-02,1.099671182408393710e-03,1.102247796082170880e-03,1.002923229036883079e-01,3.192945636478109877e-08,-4.111550254322998507e-08,1.997659870581625641e-01,3.842382575653937368e-03,3.847527316987009883e-03,1.387197297220363508e-02
