time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.008176307400388605e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.620733260826033278e-02
1.751751751751752012e-11,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.008823784659133083e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.678064082885866559e-02
3.503503503503504023e-11,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.009490184782025124e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.736302612278410984e-02
5.255255255255256035e-11,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.010175996498806406e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.795457806502305215e-02
7.007007007007008046e-11,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.010881719088916109e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.855538674625690054e-02
8.758758758758760704e-11,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.011607862546798686e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.916554276652128158e-02
1.051051051051051207e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.012354947748006828e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.978513722826958893e-02
1.226226226226226343e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.013123506616061598e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.041426172885097950e-02
1.401401401401401609e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.013914082290005625e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.105300835240507928e-02
1.576576576576576875e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.014727229292603838e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.170146966119151616e-02
1.751751751751752141e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.015563513699128451e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.235973868635836692e-02
1.926926926926927148e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.016423513306751791e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.302790891812053459e-02
2.102102102102102414e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.017307817804012138e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.370607429558499152e-02
2.277277277277277680e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.018217028941473867e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.439432919566255187e-02
2.452452452452452687e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.019151760701948517e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.509276842182721734e-02
2.627627627627627953e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.020112639471379479e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.580148719217110725e-02
2.802802802802803219e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.021100304209862975e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.652058112698043840e-02
2.977977977977978484e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.022115406622810030e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.725014623580348766e-02
3.153153153153153750e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.023158611332175894e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799027890402692703e-02
3.328328328328329016e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.024230596047690567e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.874107587894780519e-02
3.503503503503504282e-10,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,2.025332051738013561e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.950263425548293017e-02
