time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.751751751751752012e-11,0.000000000000000000e+00,0.000000000000000000e+00,1.023989229633745068e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.503503503503504023e-11,0.000000000000000000e+00,0.000000000000000000e+00,2.047978459267490135e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.255255255255256035e-11,0.000000000000000000e+00,0.000000000000000000e+00,3.071967688901235637e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.007007007007008046e-11,0.000000000000000000e+00,0.000000000000000000e+00,4.095956918534980271e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.758758758758760704e-11,0.000000000000000000e+00,0.000000000000000000e+00,5.119946148168725772e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.051051051051051207e-10,0.000000000000000000e+00,0.000000000000000000e+00,6.143935377802471273e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.226226226226226343e-10,0.000000000000000000e+00,0.000000000000000000e+00,7.167924607436215907e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.401401401401401609e-10,0.000000000000000000e+00,0.000000000000000000e+00,8.191913837069960541e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.576576576576576875e-10,0.000000000000000000e+00,0.000000000000000000e+00,9.215903066703706042e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.751751751751752141e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.023989229633745154e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.926926926926927148e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.126388152597119705e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.102102102102102414e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.228787075560494255e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.277277277277277680e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.331185998523868805e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.452452452452452687e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.433584921487243181e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.627627627627627953e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.535983844450617732e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.802802802802803219e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.638382767413992108e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.977977977977978484e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.740781690377366658e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.153153153153153750e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.843180613340741208e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.328328328328329016e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.945579536304115759e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.503503503503504282e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.047978459267490309e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.678678678678679030e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.150377382230864859e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.853853853853854296e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.252776305194239409e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.029029029029029562e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.355175228157613959e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.204204204204204828e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.457574151120988509e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.379379379379380094e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.559973074084363059e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
