time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.988011757213356823e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999547e-07
1.691925317870909810e-11,0.000000000000000000e+00,0.000000000000000000e+00,1.012724174526349538e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000012277409092001e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.087273293377144012e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.246826354600472656e-06
5.627818136423253140e-11,0.000000000000000000e+00,0.000000000000000000e+00,3.550832779143052020e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000134558056145094e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.318183466077409216e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.716166314266779979e-05
1.022463061085708506e-10,0.000000000000000000e+00,0.000000000000000000e+00,6.833720693951233875e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000438884574134622e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.587868340964998293e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.114242431621429329e-05
1.530818314432482791e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.085656270407863930e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000969917221218456e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.886109184287977136e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.661271397306945488e-05
2.080461068953681955e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.565933668774889542e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.001762122715308409e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.208572496224965098e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.334239725560977319e-05
2.668341725295737482e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.130353305166184097e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.002844365258540342e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.553469143926409890e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.123723370559186104e-05
3.293931553946614976e-10,0.000000000000000000e+00,0.000000000000000000e+00,2.786784143148747159e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.004242396354832660e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.920488933419649658e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002806027875022542e-04
3.958508773751483708e-10,0.000000000000000000e+00,0.000000000000000000e+00,3.544918144149984685e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.005980524907149716e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.310381767580330203e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.205111783795914784e-04
4.664927815978428546e-10,0.000000000000000000e+00,0.000000000000000000e+00,4.416679829337163271e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.008083039588245772e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.724822278435949485e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.420157334857643421e-04
5.417687783287275072e-10,0.000000000000000000e+00,0.000000000000000000e+00,5.416950017906329434e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.010575763832125907e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.166449990536768899e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.649311624345877500e-04
6.223285195110524897e-10,0.000000000000000000e+00,0.000000000000000000e+00,6.564754312489989863e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.013488167083177911e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.639076268910409029e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.894551933049790874e-04
7.090971032970172942e-10,0.000000000000000000e+00,0.000000000000000000e+00,7.885280652670248469e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.016856752765043668e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.148128460894232150e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.158694220400238760e-04
8.034270139834289679e-10,0.000000000000000000e+00,0.000000000000000000e+00,9.413588199868108686e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.020731314264357792e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.701541294311058605e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.445855604731715801e-04
9.074280032700771115e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.120232919082558287e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.025188357251333778e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.311692218238180496e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.762458569085849921e-04
1.024824904422633118e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.334131517282871604e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.030366493178308529e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.000434009981972627e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.119842339047049717e-04
1.164133410674938520e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.602845065514678646e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.036600382669434486e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.817726368292871930e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.543930720569991952e-04
1.333434652679246120e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.948658053996236983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.044154482405063858e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.810979508858904685e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.059324683978476509e-04
1.502735894683553720e-09,0.000000000000000000e+00,0.000000000000000000e+00,2.312840631495225452e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.051547958296938879e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.080423264942493633e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.574719038623316987e-04
1.662282791372124297e-09,0.000000000000000000e+00,0.000000000000000000e+00,2.670569135329945443e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.058280557875632176e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.174025919197950962e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.060419030780142135e-04
1.821703977048297980e-09,0.000000000000000000e+00,0.000000000000000000e+00,3.040229475885275479e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.064728676654513699e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.267554821568076973e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.545736502276877103e-04
1.985049515583791709e-09,0.000000000000000000e+00,0.000000000000000000e+00,3.430013532155700151e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.071017144282856342e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.363386055425003462e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.043000809023080710e-04
2.154519386755163699e-09,0.000000000000000000e+00,0.000000000000000000e+00,3.844674842627895939e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.077187680887070100e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.462810300504081562e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.558909213199091547e-04
2.331768641019544198e-09,0.000000000000000000e+00,0.000000000000000000e+00,4.288083423097609481e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.083255946099389785e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.566798538497399695e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.098500086246957268e-04
2.518267167121751272e-09,0.000000000000000000e+00,0.000000000000000000e+00,4.763916852633104937e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.089226603426498652e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.676213120793990319e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.666248126681506937e-04
2.715447580142323187e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.275946624076595093e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.095098993170952242e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.791894531144073488e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.266514566167852598e-04
2.924784588918993517e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.828199142091304852e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.100869725704242772e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.914707948779152735e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.903788782691149243e-04
3.147847751225568733e-09,0.000000000000000000e+00,0.000000000000000000e+00,6.425071429428179659e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.106534013719334209e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.045574198714849690e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.582848899881191195e-04
3.386343534560913756e-09,0.000000000000000000e+00,0.000000000000000000e+00,7.071431761482511735e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.112086412431524673e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.185494427890463331e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.030888983019364680e-03
3.642153993627860385e-09,0.000000000000000000e+00,0.000000000000000000e+00,7.772719352680605986e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.117521254251804949e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.335572796394941530e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.108764101859825843e-03
3.917376057073610558e-09,0.000000000000000000e+00,0.000000000000000000e+00,8.535051215152188453e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.122832913997005725e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.497039526133167264e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.192548604110621642e-03
4.214364064023575042e-09,0.000000000000000000e+00,0.000000000000000000e+00,9.365342047280698079e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.128015974708482120e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.671275856074558419e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.282959209654684855e-03
4.535777679487455556e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.027144236212113260e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.133065332595396477e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.859842153167677203e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.380805587302555686e-03
4.884637213648467426e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.126230022484986160e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.137976263284420702e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.064510366950190967e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.487007195369362223e-03
5.264388513708780532e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.234815266303798342e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.142744462689991797e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.287302100166975105e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.602613036380892567e-03
5.678979959458546591e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.354075405124498754e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.147366071137709796e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.530533780376556408e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.728825096459316903e-03
6.132954554159047375e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.485365025406977013e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.151837685696702933e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.796870687646257014e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.867026380103696493e-03
6.631560866278366099e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.630250965292855403e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.156156364645798780e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.089392041627793795e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.018814683645498136e-03
7.180887470456401147e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.790552490420075138e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.160319626229367124e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.411669875113755523e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.186043522461903962e-03
7.788026784669590653e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.968390304282164216e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.164325443349563784e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.767865153697721681e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.370872007133082750e-03
8.461275802950161855e-09,0.000000000000000000e+00,0.000000000000000000e+00,2.166246636796243408e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.168172235249927702e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.162845541244529990e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.575825951535794505e-03
9.210383284296264768e-09,0.000000000000000000e+00,0.000000000000000000e+00,2.387039274143587964e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.171858856701709804e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.602330420185698934e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.803873123371748710e-03
1.004685559708321312e-08,0.000000000000000000e+00,0.000000000000000000e+00,2.634213185112618039e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.175384584727375481e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.093070323706919922e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.058516350907930156e-03
1.098433677443520640e-08,0.000000000000000000e+00,0.000000000000000000e+00,2.911854406147745156e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.178749102521851888e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.643069905873432823e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.343909221402443632e-03
1.199999999999999992e-08,0.000000000000000000e+00,0.000000000000000000e+00,3.213225334743393002e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.181843131917002842e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.238937175721334327e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.653102677353290730e-03
