time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
0.000000000000000000e+00,3.539862799204644884e-06,-2.755812614487050044e-06,5.301454166200710332e-06,9.992831722182428204e-04,9.981409205794882986e-04,9.976287106781714462e-04,3.539862799204654135e-09,-2.755812614487044608e-09,1.988011810227898468e-01,9.992831722182431779e-07,9.981409205794876565e-07,9.976287106779102721e-07
1.212121212121212048e-10,3.543425274003123667e-06,-2.710867525741055146e-06,8.292144277742276651e-03,1.000768252052437485e-03,9.996402628582392886e-04,9.990867128328892281e-04,7.578889959032951317e-09,-3.810729851781961699e-08,2.699133125006457079e-01,5.459107383424881380e-05,5.459001170095726459e-05,5.565757649510485387e-05
2.424242424242424096e-10,3.473867463000552821e-06,-2.882082387462234839e-06,1.890258881584708922e-02,1.005126102800289181e-03,1.004008853194829267e-03,1.002694234958176117e-03,1.096904255425810409e-07,1.819592852234774106e-07,3.410255735937059440e-01,1.051804675409302259e-04,1.051615643823703247e-04,1.089331036200974696e-04
3.636363636363636402e-10,3.472121277595729460e-06,-2.995074157738622560e-06,3.170272451799564795e-02,1.010071210385255196e-03,1.008871528687176446e-03,1.006705021103296510e-03,1.189729185879853338e-07,3.459408070229676708e-07,4.121379565527925615e-01,1.549597372732445220e-04,1.550823297574552729e-04,1.617895178662587924e-04
4.848484848484848192e-10,3.556600588332999548e-06,-2.937225563043359719e-06,4.654449565079600559e-02,1.016021745784271993e-03,1.014823428620926496e-03,1.011767737125607303e-03,7.377107368974205510e-09,2.636179280431294109e-07,4.832503253588096848e-01,2.031462820540844301e-04,2.032621077630520961e-04,2.132982710453841654e-04
6.060606060606059981e-10,3.597439966415303206e-06,-2.631070682703272239e-06,6.327253613305607038e-02,1.023653834333316864e-03,1.022462768519434746e-03,1.017838862528907965e-03,-5.628302324247114775e-08,-2.523804037926932097e-07,5.543624540057203731e-01,2.485005357544341122e-04,2.485617060131553352e-04,2.631692407393901745e-04
7.272727272727272804e-10,3.622221997416404239e-06,-2.554357203634025684e-06,8.172966834577506667e-02,1.032218646170081962e-03,1.031060552539435956e-03,1.024274180777349618e-03,-9.385996457338448443e-08,-3.827396961845504339e-07,6.254745839874458202e-01,2.920620072049716961e-04,2.920543730593098226e-04,3.122234939188320854e-04
8.484848484848484594e-10,3.547555118413510642e-06,-2.653683203683894244e-06,1.017621424974845534e-01,1.041419798130771134e-03,1.040323665925008828e-03,1.030878375106460913e-03,1.077024913537278954e-07,-1.325315213484986248e-07,6.965868021164967061e-01,3.342357990530789671e-04,3.341073660476889503e-04,3.607294178277934771e-04
9.696969696969696383e-10,3.506579194100809770e-06,-2.801522097492754845e-06,1.232229603478242341e-01,1.051444164322842129e-03,1.050363951446237239e-03,1.037712311739184259e-03,2.102641328253037051e-07,2.779679469182005039e-07,7.676993562136361637e-01,3.743345585631921565e-04,3.741893355387633101e-04,4.080315378573204734e-04
1.090909090909090921e-09,3.496047434930695216e-06,-2.889679881960113345e-06,1.459742918442040738e-01,1.061988746268616602e-03,1.060880852910418880e-03,1.044654057443341211e-03,2.534384272273600905e-07,5.256730064201054919e-07,8.388121124762543124e-01,4.128461919707686789e-04,4.128342260022797687e-04,4.535836602320245667e-04
1.212121212121211996e-09,3.563207411411837081e-06,-2.808161495853310987e-06,1.698886725334463610e-01,1.073521948229242979e-03,1.072405538697892083e-03,1.051577216948911681e-03,3.592488409890751629e-08,2.155914592026207750e-07,9.099244334586696903e-01,4.480901591469592837e-04,4.480577742617735336e-04,4.965811200384677264e-04
