time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
0.000000000000000000e+00,3.539862799204644884e-06,-2.755812614487050044e-06,5.301454166200710332e-06,9.992831722182428204e-04,9.981409205794882986e-04,9.976287106781714462e-04,3.539862799204654135e-09,-2.755812614487044608e-09,1.988011810227898468e-01,9.992831722182431779e-07,9.981409205794876565e-07,9.976287106779102721e-07
1.212121212121212048e-10,3.540512645427657032e-06,-2.755614713123192300e-06,8.292155664850527769e-03,9.994915972630976243e-04,9.983493233446511222e-04,9.979108427926553990e-04,-7.271614231626837929e-09,-2.024023528775479473e-09,2.699160590135207261e-01,8.592105710883409661e-06,8.587314642873007526e-06,8.846985041756377137e-06
2.424242424242424096e-10,3.539890588728430902e-06,-2.754784590876554668e-06,1.890271484656269943e-02,9.999004947567689382e-04,9.987583051921200376e-04,9.982967977820113217e-04,-1.699645867532380052e-08,-1.244304840020300032e-09,3.410316100428313346e-01,1.625819081789549729e-05,1.624796162086282188e-05,1.695684400905702891e-05
3.636363636363636402e-10,3.535833478129111314e-06,-2.752210016323698304e-06,3.170331768408395784e-02,1.000844167915637857e-03,9.997001151610626114e-04,9.989734635105905914e-04,-2.830862436535670479e-08,5.516088794794401398e-10,4.121490242276824589e-01,2.404972367287632991e-05,2.402977482531580219e-05,2.575590572033375106e-05
4.848484848484848192e-10,3.531027336719730042e-06,-2.751287390095174339e-06,4.654582924055421927e-02,1.002277984486374353e-03,1.001133681982840397e-03,9.999783289123007155e-04,-3.582571250794552837e-08,1.758161671408473104e-10,4.832685174004736073e-01,3.189373261712525768e-05,3.186572400193555957e-05,3.535868552891909510e-05
6.060606060606059981e-10,3.528055298219450558e-06,-2.753376183367184839e-06,6.327445375784311599e-02,1.003758894810200973e-03,1.002614291708655908e-03,1.001088715559080326e-03,-5.407050615147947752e-08,1.105907568740272883e-09,5.543883793076742617e-01,3.971688859427094967e-05,3.968518495927472679e-05,4.508536321542677629e-05
7.272727272727272804e-10,3.524986513385773762e-06,-2.753598454180299318e-06,8.173215798643765351e-02,1.005252041093095605e-03,1.004108386697424599e-03,1.002237229860519080e-03,-7.630022476461644982e-08,5.398610362922449560e-09,6.255083954550618719e-01,4.753204626086622971e-05,4.749559460868203314e-05,5.481262889674024322e-05
8.484848484848484594e-10,3.523524608831642069e-06,-2.753018511168158556e-06,1.017652205170068574e-01,1.006749277241715621e-03,1.005604461446249921e-03,1.003403165591876733e-03,-1.005593486000898874e-07,7.027844444513462549e-09,6.966284883202368272e-01,5.534332795037951477e-05,5.530362057311664594e-05,6.456504041496507844e-05
9.696969696969696383e-10,3.521257644326824430e-06,-2.754612420892918427e-06,1.232266925188832685e-01,1.008247008662535192e-03,1.007101687723215662e-03,1.004568653789999306e-03,-1.240858821067122934e-07,1.180771399620421250e-08,7.677486284713433973e-01,6.315384623263940571e-05,6.311029367526910445e-05,7.425350421929649200e-05
1.090909090909090921e-09,3.519939550186359174e-06,-2.756493798348624304e-06,1.459787049252817270e-01,1.009744656711793805e-03,1.008598181449317033e-03,1.005731542186523919e-03,-1.497209322923493050e-07,1.762772036187535240e-08,8.388687869829506427e-01,7.096396096030035201e-05,7.091752296372282180e-05,8.392097478897613731e-05
1.212121212121211996e-09,3.520406865891534807e-06,-2.755493969501425040e-06,1.698938830937493372e-01,1.011448570583823973e-03,1.010303216816940425e-03,1.007014886939567883e-03,-1.782532725187829132e-07,2.200557398072974089e-08,9.099901385757735994e-01,7.868294303336393941e-05,7.863364872108190263e-05,9.490234260805228712e-05
1.333333333333333279e-09,3.516692212259770873e-06,-2.755604690178005878e-06,1.948557667101284141e-01,1.013716074987978727e-03,1.012567013348781957e-03,1.008410377011876094e-03,-2.021387590143364101e-07,2.548514504271194024e-08,9.811141691654491348e-01,8.617124994012894930e-05,8.611600273635378695e-05,1.071463745058084385e-04
1.454545454545454561e-09,3.509362955261822753e-06,-2.754564057402160884e-06,2.207586181182547014e-01,1.016248014628178421e-03,1.015100358259659035e-03,1.009765131114081105e-03,-2.169402217634604051e-07,2.489199268008017213e-08,1.052239833137170288e+00,9.352658277843142775e-05,9.345598244153947647e-05,1.188567458797861593e-04
1.575757575757575636e-09,3.501947364119089188e-06,-2.755104850919028747e-06,2.475072193970127565e-01,1.018799092336656687e-03,1.017650799151806730e-03,1.011099564892061192e-03,-2.362390624789336723e-07,2.416910875919102248e-08,1.123365746197642512e+00,1.008645585793417588e-04,1.007815812456736585e-04,1.304639671906685525e-04
1.696969696969696919e-09,3.495616422137925870e-06,-2.753144314731069028e-06,2.750163152649141018e-01,1.021358884171293894e-03,1.020209650614395478e-03,1.012412057899520325e-03,-2.609463640534086133e-07,2.348976802944436681e-08,1.194491782954689496e+00,1.081930616937724720e-04,1.080981527784337647e-04,1.419539611522667726e-04
1.818181818181817994e-09,3.487710792691220233e-06,-2.752058975491534730e-06,3.032097576871538025e-01,1.023920095792388990e-03,1.022770035071555571e-03,1.013711691806102027e-03,-2.835812954697312676e-07,2.512433120494327456e-08,1.265617863080634065e+00,1.155191589448244412e-04,1.154122417735104991e-04,1.533926405762962148e-04
1.939393939393939277e-09,3.480407864600316287e-06,-2.751424812858203871e-06,3.320196896978196421e-01,1.026480000768819007e-03,1.025327288033338856e-03,1.014999980983791530e-03,-3.100325737721451171e-07,2.374922988358317330e-08,1.336743867987004064e+00,1.228328846996322844e-04,1.227095191077506343e-04,1.647035436452835605e-04
2.060606060606060559e-09,3.474885151684493673e-06,-2.750467649399656012e-06,3.613857246997007611e-01,1.029030836935861115e-03,1.027876501249415288e-03,1.016277502764983617e-03,-3.279137565460700666e-07,2.336595464110862751e-08,1.407869682897919805e+00,1.301040292353668941e-04,1.299693719393680733e-04,1.758105290926103399e-04
2.181818181818181841e-09,3.464756226335844837e-06,-2.750199944831886468e-06,3.912541017619894368e-01,1.031600774966182077e-03,1.030450679699422209e-03,1.017466599012840488e-03,-3.509961414942980246e-07,2.411098864074498102e-08,1.478995370846921675e+00,1.370849261921456739e-04,1.369113932023571258e-04,1.869431612775388927e-04
2.303030303030302710e-09,3.459006731660133224e-06,-2.749251437799987469e-06,4.215770400381407823e-01,1.034261527948659911e-03,1.033108718595998274e-03,1.018555857727455882e-03,-3.922176648244997507e-07,2.437853426845910187e-08,1.550121494732329852e+00,1.435815024490777795e-04,1.434016862158964210e-04,1.985379828762238639e-04
2.424242424242423992e-09,3.450476340306653008e-06,-2.748724917999962742e-06,4.523120974316849341e-01,1.037023193463161921e-03,1.035865572466420585e-03,1.019604775229878248e-03,-4.242776541896533749e-07,2.425773242400404548e-08,1.621248148779087739e+00,1.496475160480654847e-04,1.494729359916925127e-04,2.101726990510225865e-04
2.545454545454545275e-09,3.445575586224560130e-06,-2.748994223293162517e-06,4.834214858250005520e-01,1.039875592132718509e-03,1.038717637812372994e-03,1.020638698646912602e-03,-4.691656908131388123e-07,4.503961609627809424e-08,1.692375543428736639e+00,1.553610817697693059e-04,1.551661435627706511e-04,2.214487648863487147e-04
2.666666666666666557e-09,3.437350622970444521e-06,-2.747199612013482652e-06,5.148714884685577919e-01,1.042757554874952251e-03,1.041598091221237728e-03,1.021631831645862694e-03,-4.915730390236828425e-07,4.576818711576339733e-08,1.763503447351555620e+00,1.609461388772480807e-04,1.607256181220061792e-04,2.323536183606556243e-04
2.787878787878787839e-09,3.427348203090883923e-06,-2.747048237545046731e-06,5.466320054355039426e-01,1.045648610380062399e-03,1.044485640527753178e-03,1.022596102960288697e-03,-5.101782670776293452e-07,5.538733719826879026e-08,1.834631512124401453e+00,1.664901348712025445e-04,1.662444223256446054e-04,2.430736482487452733e-04
2.909090909090909122e-09,3.418335061306044835e-06,-2.745968298289315575e-06,5.786761274855639625e-01,1.048539918299249167e-03,1.047373429340867643e-03,1.023545184305882892e-03,-5.275237822304497222e-07,5.640555567139587733e-08,1.905759658407098822e+00,1.720183742302167670e-04,1.717491638517495631e-04,2.537000894694532087e-04
3.030303030303029990e-09,3.409003917893888706e-06,-2.744572320326919476e-06,6.109797719685731154e-01,1.051430327599870091e-03,1.050261227544573928e-03,1.024476922224144349e-03,-5.494923764475105566e-07,5.492020874200612753e-08,1.976887891965198651e+00,1.775329241511937426e-04,1.772432213861621934e-04,2.642174374200376586e-04
3.151515151515151273e-09,3.399922529085511082e-06,-2.743992857311963647e-06,6.435213361315144098e-01,1.054319274081959995e-03,1.053148247813545137e-03,1.025399908306938316e-03,-5.673293905410442499e-07,5.219381845555613569e-08,2.048016144023710350e+00,1.830437314137639483e-04,1.827340414877086296e-04,2.747144722970500065e-04
3.272727272727272555e-09,3.390965308184860450e-06,-2.743663901882205469e-06,6.762814189290317080e-01,1.057207214809847322e-03,1.056033832578930553e-03,1.026316560714540110e-03,-5.850755220846559178e-07,4.833855229370570627e-08,2.119144404120729686e+00,1.885495035398242441e-04,1.882218775726939020e-04,2.851997853725728887e-04
3.393939393939393837e-09,3.381886145998085394e-06,-2.742737927936081156e-06,7.092424832402891566e-01,1.060092084007325077e-03,1.058914822067350816e-03,1.027120325989104490e-03,-5.907029456897567211e-07,4.336063272052051202e-08,2.190272410510376133e+00,1.938556963288977743e-04,1.934718385059877523e-04,2.953387309317330239e-04
3.515151515151515120e-09,3.370552820809565638e-06,-2.741669207166545465e-06,7.423887623358496057e-01,1.062971710008726303e-03,1.061790988448801281e-03,1.027799884776422297e-03,-6.242684958974859992e-07,4.399019509626036922e-08,2.261400131376066991e+00,1.988440696612859583e-04,1.984136190872119547e-04,3.050852695619336711e-04
3.636363636363635989e-09,3.358520618451263313e-06,-2.740540003771693826e-06,7.757060861492912629e-01,1.065844160599739056e-03,1.064660852403001741e-03,1.028409665045521785e-03,-6.580309558341484579e-07,4.651064380588792552e-08,2.332527668567787149e+00,2.035479107294527841e-04,2.030972249312754661e-04,3.145620723999330011e-04
3.757575757575757684e-09,3.347539360878613490e-06,-2.740058596034431441e-06,8.091816286893991350e-01,1.068707800367203406e-03,1.067521488119476791e-03,1.029002707560409350e-03,-6.689456949429446205e-07,4.155630739509926629e-08,2.403655131451464033e+00,2.079846017669701092e-04,2.075270413351511158e-04,3.239125505336868738e-04
3.878787878787878553e-09,3.339605178810300632e-06,-2.738718449334819883e-06,8.428037499863682003e-01,1.071558164851982775e-03,1.070370825113324629e-03,1.029593792780723101e-03,-6.534926696653705894e-07,2.999023898532258592e-08,2.474782531547687014e+00,2.121885657227409055e-04,2.117371324629405008e-04,3.331434069397077257e-04
3.999999999999999422e-09,3.327085505209877105e-06,-2.736822928743444999e-06,8.765618688093315125e-01,1.074387737581333898e-03,1.073197758037297556e-03,1.030176534870698348e-03,-7.117928562921451909e-07,3.831259270514162355e-08,2.545909775119404195e+00,2.161872608235251673e-04,2.157286741471496898e-04,3.421191498798291917e-04
4.121212121212121118e-09,3.313737503846607227e-06,-2.732225333488904624e-06,9.104463753039839791e-01,1.077203805252831097e-03,1.076008129986777244e-03,1.030756135653741138e-03,-7.930435855731841190e-07,7.668042119189628128e-08,2.617036936083438903e+00,2.200978699967527706e-04,2.196036707703588717e-04,3.509988199509432865e-04
4.242424242424241987e-09,3.302393956987938595e-06,-2.729692331575983799e-06,9.444485112498952617e-01,1.080009992261190795e-03,1.078807087046715742e-03,1.031334909495431728e-03,-8.561037016584795236e-07,9.903098939850149459e-08,2.688164059329900102e+00,2.239645412436041606e-04,2.234159849267403737e-04,3.598221501541274520e-04
4.363636363636363683e-09,3.294413239637067476e-06,-2.728902319485766492e-06,9.785602783999368670e-01,1.082805518493092697e-03,1.081596665425384055e-03,1.031909606886235401e-03,-8.894765735358159471e-07,1.046841215961394474e-07,2.759291196851321626e+00,2.277711857994662106e-04,2.271801898982031499e-04,3.685681631069859785e-04
4.484848484848484551e-09,3.288428829519752975e-06,-2.728012237838656846e-06,1.012774364548835182e+00,1.085593266088378910e-03,1.084377437699707942e-03,1.032476949290225907e-03,-9.006274673937453916e-07,1.169382047201425117e-07,2.830418375463890968e+00,2.315276050578923058e-04,2.308961440581072330e-04,3.772247454642431289e-04
4.606060606060605420e-09,3.281683121733606270e-06,-2.727804922403757122e-06,1.047084072193953386e+00,1.088374682247126657e-03,1.087152718505951000e-03,1.033037452839711797e-03,-9.058714149761380717e-07,1.241641949884402157e-07,2.901545578057651564e+00,2.352540330015608289e-04,2.345901269764695562e-04,3.858095719322895381e-04
4.727272727272727116e-09,3.274228572387353056e-06,-2.727664495072673952e-06,1.081483256186284603e+00,1.091151737889439928e-03,1.089924569947941417e-03,1.033596772018040766e-03,-9.100664264935264480e-07,1.277493922002180553e-07,2.972672769868236919e+00,2.389724552724338492e-04,2.382815876494634780e-04,3.943761275638041851e-04
4.848484848484847985e-09,3.265947841743785291e-06,-2.726643215369920495e-06,1.115966272944997506e+00,1.093921170260775616e-03,1.092690255782892373e-03,1.034143921480114173e-03,-9.153960608931020693e-07,1.269101338288876972e-07,3.043799947619711954e+00,2.426645453123349395e-04,2.419528141863336453e-04,4.028449225868192449e-04
4.969696969696969681e-09,3.261142357630745855e-06,-2.726818941261564070e-06,1.150527882253583156e+00,1.096663897470415150e-03,1.095420646372132411e-03,1.034608392737863076e-03,-8.991274813806881050e-07,1.182282930126683661e-07,3.114926714174071520e+00,2.462194213043082214e-04,2.454482158302054859e-04,4.107369907549188398e-04
5.090909090909090549e-09,3.250264183968910634e-06,-2.727444135901080043e-06,1.185163294925670519e+00,1.099372894457894623e-03,1.098115881940474629e-03,1.034998518599158923e-03,-9.072816139029001534e-07,1.107590674084489594e-07,3.186052980391568035e+00,2.495969550108520702e-04,2.487600590560968151e-04,4.180463807222041311e-04
