time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma
0.000000000000000000e+00,1.119079758458588146e-06,1.058804203905868395e-05,1.423984678961471068e-06,9.976120114356362267e-04,9.949013330296692381e-04,1.002062657438317289e-03,1.612109989313921806e-09,-4.577015676965029425e-09,2.076013450820437811e-01,6.841876539360571977e-06,6.851774115271454155e-06,7.112678809390364658e-06
0.000000000000000000e+00,1.119086862755226854e-06,1.058802186894430051e-05,8.968966905248169051e-04,9.976265534170861843e-04,9.949159019961150308e-04,1.002077436503363709e-03,1.612109989313921806e-09,-4.577015676965029425e-09,2.076013450820437811e-01,6.841876539360571977e-06,6.851774115271454155e-06,7.112678809390364658e-06
1.499999999999999990e-11,1.119093954794651047e-06,1.058800173407577794e-05,1.829515388002402650e-03,9.976712542861562553e-04,9.949606442557503393e-04,1.002121537777944920e-03,1.612126942685789597e-09,-4.577020728362615545e-09,2.164015151098549750e-01,1.365209820211231080e-05,1.366564858910043528e-05,1.407394852305826823e-05
2.999999999999999980e-11,1.119101034181381466e-06,1.058798163572800753e-05,2.799081657268779038e-03,9.977459503116385946e-04,9.950353959984779492e-04,1.002194636096932160e-03,1.612147707560493615e-09,-4.577027346830446393e-09,2.252016851563305999e-01,2.049509949062257105e-05,2.051252234748542142e-05,2.107667500031781618e-05
4.499999999999999970e-11,1.119108100531166060e-06,1.058796157515178931e-05,3.805390713018011895e-03,9.978504708398146152e-04,9.951399864885012662e-04,1.002296389797284470e-03,1.612172233036591438e-09,-4.577035511430728605e-09,2.340018552213546377e-01,2.733294976589004154e-05,2.735428574135046140e-05,2.808537231582394972e-05
5.999999999999999960e-11,1.119115153470936156e-06,1.058794155357353210e-05,4.848231606652279348e-03,9.979846384966135908e-04,9.952742382665390793e-04,1.002426441423817909e-03,1.612200465330331454e-09,-4.577045199845929907e-09,2.428020253048043531e-01,3.416054039790405609e-05,3.418579979316082289e-05,3.509502771303002678e-05
7.499999999999999950e-11,1.119122192638726835e-06,1.058792157219451666e-05,5.927387431804868878e-03,9.981482693941386413e-04,9.954379673564536790e-04,1.002584418450309066e-03,1.612232347905086981e-09,-4.577056388446288622e-09,2.516021954065514876e-01,4.097613459876838518e-05,4.100531796054327524e-05,4.210385988272430987e-05
8.999999999999999940e-11,1.119129217683745544e-06,1.058790163219107187e-05,7.042635532786903352e-03,9.983411733410166994e-04,9.956309834757031720e-04,1.002769934013787462e-03,1.612267821606049808e-09,-4.577069052348351595e-09,2.604023655264608439e-01,4.777884020498432470e-05,4.781194380582457724e-05,4.911090240996741912e-05
1.049999999999999993e-10,1.119136228266325929e-06,1.058788173471348201e-05,8.193747715532335996e-03,9.985631540562077326e-04,9.958530902492675804e-04,1.002982587659503660e-03,1.612306824812543305e-09,-4.577083165471987617e-09,2.692025356643887868e-01,5.456806724440856505e-05,5.460508507929534409e-05,5.611547998811879790e-05
1.199999999999999992e-10,1.119143224057656153e-06,1.058786188088651197e-05,9.380490460619245879e-03,9.988140093857610438e-04,9.961040854264884090e-04,1.003221966094392306e-03,1.612349293555396871e-09,-4.577098700674076350e-09,2.780027058201855472e-01,6.134335983490948061e-05,6.138428449650534064e-05,6.311704537311558269e-05
1.349999999999999991e-10,1.119150204740057356e-06,1.058784207180832134e-05,1.060262513795448731e-02,9.990935315220223021e-04,9.963837611004070817e-04,1.003487643946742456e-03,1.612395161638470551e-09,-4.577115629888243952e-09,2.868028759936961380e-01,6.810433169691023779e-05,6.814915483752415082e-05,7.011511655985125054e-05
1.499999999999999990e-10,1.119157170006590633e-06,1.058782230855087773e-05,1.185990822271170211e-02,9.994015072248424447e-04,9.966919039291596751e-04,1.003779184529824797e-03,1.612444360896010571e-09,-4.577133924051291979e-09,2.956030461847556357e-01,7.485063766823191449e-05,7.489935024484735502e-05,7.710924917782862209e-05
1.649999999999999989e-10,1.119164119561044750e-06,1.058780259215895056e-05,1.315209151212645526e-02,9.997377180445239046e-04,9.970282953589465653e-04,1.004096140607475644e-03,1.612496821260113983e-09,-4.577153553189672500e-09,3.044032163931985613e-01,8.158195974496163536e-05,8.163455214473542133e-05,8.409902317763858273e-05
1.799999999999999988e-10,1.119171053117907771e-06,1.058778292365097836e-05,1.447892234275604227e-02,1.000101940545802251e-03,9.973927118481498103e-04,1.004438055159472985e-03,1.612552470853195671e-09,-4.577174486602013769e-09,3.132033866188547733e-01,8.829799962681578326e-05,8.835446177580884948e-05,9.108403558721282073e-05
